龍王 (Dragon King)	龍王 (Король драконов) 
Abyss	Пучина
Acid Fade	Кислотный градиент
Afterimage	Остаточное изображение
Akihabara Accept	Akihabara Accept
Amber Fade	Янтарный градиент
Anodized Gunmetal	Анодированный металл
Anodized Navy	Анодированная синева
Antique	Антиквариат
Aqua Terrace	Aqua Terrace
Aquamarine Revenge	Aquamarine Revenge
Arctic Camo	Арктический камуфляж
Armor Core	Броня
Army Mesh	Армейская сетка
Army Recon	Армейский спецназ
Army Sheen	Армейский блеск
Ash Wood	Ясень
Asiimov	Азимов
Asterion	Asterion
Atomic Alloy	Атомный сплав
Azure Zebra	Лазурная зебра
BOOM	БАХ
Bamboo Forest	Bamboo Forest
Bamboo Print	Bamboo Print
Bamboo Shadow	Bamboo Shadow
Basilisk	Василиск
Bengal Tiger	Бенгальский тигр
Black Laminate	Черный глянец
Black Limba	Черная лимба
Blaze	Пламя
Blaze Orange	Оранжевое пламя
Blind Spot	Слепое пятно
Blizzard Marbleized	Мраморный буран
Blood Tiger	Кровавый тигр
Blood in the Water	Кровь в воде
Bloomstick	Расцветающая ветка
Blue Fissure	Синяя трещина
Blue Laminate	Синий ламинат
Blue Spruce	Голубая хвоя
Blue Steel	Вороненая сталь
Blue Streak	Синяя струя
Blue Titanium	Синий титан
Bone Machine	Костемолка
Bone Mask	Костяная маска
Bone Pile	Груда костей
Boreal Forest	Северный лес
Brass	Латунь
Bratatat	Тра-та-та
Briar	Терн
Bright Water	Чистая вода
Bronze Deco	Бронзовая декорация
Bulldozer	Бульдозер
Bullet Rain	Дождь из пуль
Bunsen Burner	Bunsen Burner
Business Class	Бизнес-класс
Caged Steel	Клетчатая сталь
Caiman	Кайман
CaliCamo	Калифорнийский камуфляж
Candy Apple	Карамельное яблоко
Caramel	Карамель
Carbon Fiber	Углепластик
Cardiac	Кардио
Cartel	Картель
Case Hardened	Поверхностная закалка
Catacombs	Захоронение
Cerberus	Цербер
Chainmail	Кольчуга
Chalice	Чаша
Chameleon	Хамелеон
Chatterbox	Щелкунчик
Chemical Green	Химический зеленый
Chronos	Chronos
Coach Class	Эконом-класс
Cobalt Disruption	Ржавый кобальт
Cobalt Halftone	Синие полутона
Cobalt Quartz	Синий кварц
Cold Blooded	Хладнокровный
Colony	Колония
Commuter	Пассажир
Condemned	Осужденный
Conspiracy	Заговор
Contamination	Заражение
Contractor	Наемник
Contrast Spray	Контрастные цвета
Copper	Медь
Copper Galaxy	Медная галактика
Copperhead	Медянка
Corporal	Капрал
Corticera	Кортисейра
Counter Terrace	Counter Terrace
Crimson Kimono	Crimson Kimono
Crimson Web	Кровавая паутина
Curse	Проклятие
Cyanospatter	Голубые брызги
Cyrex	Сайрекс
Daedalus	Daedalus
Damascus Steel	Дамасская сталь
Dark Age	Темный век
Dark Water	Темная вода
Dart	Дротик
Daybreak	Daybreak
Deadly Poison	Смертельный яд
Death Rattle	Гремучая смерть
Death by Kitty	Смертоносные кошечки
Delusion	Заблуждение
Demeter	Витраж
Demolition	Подрыв
Desert Storm	Песчаная буря
Desert Warfare	Война в пустыне
Desert-Strike	Пустынная атака
Detour	Объезд
Djinn	Джинн
Doomkitty	Смертенок
Dragon Lore	История о драконе
Dragon Tattoo	Татуировка дракона
Dry Season	Сезон засухи
Duelist	Duelist
Eco	Эко
Electric Hive	Электрический улей
Elite Build	Элитное снаряжение
Emerald	Изумруд
Emerald Dragon	Изумрудный дракон
Emerald Pinstripe	Изумрудные завитки
Evil Daimyo	Evil Daimyo
Facets	Грани
Fade	Градиент
Faded Zebra	Тусклые полосы
Fallout Warning	Радиоактивные осадки
Fire Elemental	Огненный элементаль
Fire Serpent	Огненный змей
Firestarter	Поджигатель
First Class	Первый класс
Forest DDPAT	Пиксельный камуфляж «Лес»
Forest Leaves	Лесные листья
Forest Night	Лесная ночь
Fowl Play	Птичьи игры
Franklin	Франклин
Full Stop	Полная остановка
Gator Mesh	Крокодиловая сетка
Ghost Camo	Призрачный камуфляж
Glacier Mesh	Арктическая сетка
Golden Koi	Золотой карп
Grand Prix	Гран-при
Granite Marbleized	Мраморный гранит
Graphite	Графит
Grassland	Цвет луга
Grassland Leaves	Луговые листья
Graven	Гравировка
Green Apple	Зеленое яблоко
Green Plaid	Зеленая клетка
Griffin	Грифон
Grinder	Жернов
Grotto	Грот
Groundwater	Грунтовая вода
Guardian	Страж
Gunsmoke	Пороховой дым
Hades	Hades
Hand Cannon	Пищаль
Handgun	Handgun
Hazard	Желто-черные полосы
Heat	Жар
Heaven Guard	Райский страж
Heirloom	Наследие
Hemoglobin	Гемоглобин
Hexane	Гексан
Highwayman	Разбойник
Hive	Улей
Hot Rod	Хот-род
Hot Shot	Лихач
Howl	Вой
Hunting Blind	Охотничья будка
Hydroponic	Hydroponic
Hyper Beast	Скоростной зверь
Hypnotic	Гипнотический
Icarus Fell	Icarus Fell
Impact Drill	Impact Drill
Indigo	Индиго
Irradiated Alert	Радиоактивная опасность
Isaac	Айзек
Ivory	Слоновая кость
Jaguar	Ягуар
Jet Set	Путешественник
Jungle	Джунгли
Jungle DDPAT	Пиксельный камуфляж «Джунгли»
Jungle Dashed	Тропическая штриховка
Jungle Spray	Цвет джунглей
Jungle Tiger	Тигр в джунглях
Kami	Ками
Knight	Рыцарь
Koi	Карп кои
